# original TSV file minus the entries in the pending..
# set of the entries required for simultaneous key-combos..
d		か
7		7
8		8
9		9
0		0
-		-
s		と
y		ぐ
u		ば
i		こ
o		が
p		ひ
@		げ
h		く
j		う
k		い
l		し
;		な
n		て
m		た
,		で
.		。
/		ぶ
1		1
2		2
3		3
4		4
5		5
q		ー
w		に
e		は
r		、
t		ち
a		の
f		ん
g		っ
z		す
x		ま
c		き
v		る
b		つ
か7	，
7d	，
か8	「
8d	「
か9	」
9d	」
か0	；
0d	；
か-	＠
-d	＠
と7	．
7s	．
と8	（
8s	（
と9	）
9s	）
と0	：
0s	：
と-	＊
-s	＊
かy	うぃ
ぐd	うぃ
かu	ぱ
ばd	ぱ
かi	よ
こd	よ
かo	み
がd	み
かp	うぇ
ひd	うぇ
か@	うぉ
げd	うぉ
とy	しぇ
ぐs	しぇ
とu	ぺ
ばs	ぺ
とi	ど
こs	ど
とo	や
がs	や
とp	じぇ
ひs	じぇ
かh	へ
くd	へ
かj	あ
うd	あ
かk	れ
いd	れ
かl	お
しd	お
か;	え
なd	え
とh	び
くs	び
とj	ら
うs	ら
とk	じ
いs	じ
とl	さ
しs	さ
と;	そ
なs	そ
かn	せ
てd	せ
かm	ね
たd	ね
か,	べ
でd	べ
か.	ぷ
。d	ぷ
か/	ゔ
ぶd	ゔ
とn	わ
てs	わ
とm	だ
たs	だ
と,	ぴ
でs	ぴ
と.	ぽ
。s	ぽ
と/	ちぇ
ぶs	ちぇ
い1	ぁ
1k	ぁ
い2	ぃ
2k	ぃ
い3	ぅ
3k	ぅ
い4	ぇ
4k	ぇ
い5	ぉ
5k	ぉ
し1	ゃ
1l	ゃ
し5	ゎ
5l	ゎ
いq	ふぁ
ーk	ふぁ
いw	ご
にk	ご
いe	ふ
はk	ふ
いr	ふぃ
、k	ふぃ
いt	ふぇ
ちk	ふぇ
しq	ぢ
ーl	ぢ
しw	め
にl	め
しe	け
はl	け
しr	てぃ
、l	てぃ
しt	でぃ
ちl	でぃ
いa	ほ
のk	ほ
いf	も
んk	も
いg	ゆ
っk	ゆ
しa	を
のl	を
しf	り
んl	り
しg	ず
っl	ず
いz	づ
すk	づ
いx	ぞ
まk	ぞ
いc	ぼ
きk	ぼ
いv	む
るk	む
いb	ふぉ
つk	ふぉ
しz	ぜ
すl	ぜ
しx	ざ
まl	ざ
しc	ぎ
きl	ぎ
しv	ろ
るl	ろ
しb	ぬ
つl	ぬ
こq		ひゅ
ーi		ひゅ
こw		しゅ
にi		しゅ
こe		しょ
はi		しょ
こr		きゅ
、i		きゅ
こt		ちゅ
ちi		ちゅ
こa		ひょ
のi		ひょ
こf		きょ
んi		きょ
こg		ちょ
っi		ちょ
こz		ひゃ
すi		ひゃ
こc		しゃ
きi		しゃ
こv		きゃ
るi		きゃ
こb		ちゃ
つi		ちゃ
がq		りゅ
ーo		りゅ
がw		じゅ
にo		じゅ
がe		じょ
はo		じょ
がr		ぎゅ
、o		ぎゅ
がt		にゅ
ちo		にゅ
がa		りょ
のo		りょ
がf		ぎょ
んo		ぎょ
がg		にょ
っo		にょ
がz		りゃ
すo		りゃ
がc		じゃ
きo		じゃ
がv		ぎゃ
るo		ぎゃ
がb		にゃ
つo		にゃ
こ1	ゅ
1i	ゅ
が1	ょ
1o	ょ
、f	・
んr	・
、g	・
っr	・
くu	/
ばh	/
んg	「」
っf	「」
くj	()
うh	()
んv	!
るf	!
んb	!
つf	!
てj	?
うn	?
こo		こが
がi		がこ
こがz	ぴゃ
ひゃo	ぴゃ
がこz	ぴゃ
りゃi	ぴゃ
こがq	ぴゅ
ひゅo	ぴゅ
がこq	ぴゅ
りゅi	ぴゅ
こがa	ぴょ
ひょo	ぴょ
がこa	ぴょ
りょi	ぴょ
こがc	みゃ
しゃo	みゃ
がこc	みゃ
じゃi	みゃ
こがw	みゅ
しゅo	みゅ
がこw	みゅ
じゅi	みゅ
こがe	みょ
しょo	みょ
がこe	みょ
じょi	みょ
こがv	びゃ
きゃo	びゃ
がこv	びゃ
ぎゃi	びゃ
こがr	びゅ
きゅo	びゅ
がこr	びゅ
ぎゅi	びゅ
こがf	びょ
きょo	びょ
がこf	びょ
ぎょi	びょ
こがt	でゅ
ちゅo	でゅ
がこt	でゅ
にゅi	でゅ
こがg	ゔぁ
ちょo	ゔぁ
がこg	ゔぁ
にょi	ゔぁ
こがb	ゔぃ
ちゃo	ゔぃ
がこb	ゔぃ
にゃi	ゔぃ
# set of the entries for timeout..
きゃ{!}	きゃ
な{!}	な
と{!}	と
きゅ{!}	きゅ
-{!}	-
う{!}	う
じゅ{!}	じゅ
しゃ{!}	しゃ
2{!}	2
ぎょ{!}	ぎょ
つ{!}	つ
9{!}	9
にょ{!}	にょ
ひょ{!}	ひょ
。{!}	。
の{!}	の
す{!}	す
し{!}	し
こ{!}	こ
ま{!}	ま
ひゃ{!}	ひゃ
て{!}	て
3{!}	3
ひゅ{!}	ひゅ
い{!}	い
しょ{!}	しょ
ば{!}	ば
ぶ{!}	ぶ
がこ{!}	がこ
か{!}	か
りょ{!}	りょ
が{!}	が
7{!}	7
りゃ{!}	りゃ
0{!}	0
ひ{!}	ひ
5{!}	5
1{!}	1
ん{!}	ん
ぐ{!}	ぐ
き{!}	き
る{!}	る
っ{!}	っ
ちゅ{!}	ちゅ
ちゃ{!}	ちゃ
ー{!}	ー
、{!}	、
きょ{!}	きょ
は{!}	は
じょ{!}	じょ
りゅ{!}	りゅ
こが{!}	こが
ぎゅ{!}	ぎゅ
げ{!}	げ
じゃ{!}	じゃ
ぎゃ{!}	ぎゃ
く{!}	く
で{!}	で
8{!}	8
に{!}	に
にゅ{!}	にゅ
ち{!}	ち
ちょ{!}	ちょ
しゅ{!}	しゅ
4{!}	4
にゃ{!}	にゃ
た{!}	た
