# original TSV file minus the entries in the pending..
# set of the entries required for simultaneous key-combos..
a		の
u		よ
i		ゆ
o		や
h		え
j		お
k		う
l		い
;		あ
n		っ
m		ん
,		、
.		。
/		ー
s		か
7		7
9		9
y		れ
p		を
d		し
f		と
6		6
8		8
g		は
x		る
c		ま
v		て
b		わ
q		に
w		が
0		0
e		じ
r		で
t		ば
のu		にょ
よa		にょ
のi		にゅ
ゆa		にゅ
のo		にゃ
やa		にゃ
のh		ね
えa		ね
のj		の
おa		の
のk		ぬ
うa		ぬ
のl		に
いa		に
の;		な
あa		な
のn	ねん
っa	ねん
のm	のん
んa	のん
の,	ぬん
、a	ぬん
の.	にん
。a	にん
の/	なん
ーa	なん
か7	くぉ
7s	くぉ
か9	くぃ
9s	くぃ
かy		くぇ
れs		くぇ
かu		きょ
よs		きょ
かi		きゅ
ゆs		きゅ
かo		きゃ
やs		きゃ
かp		くぁ
をs		くぁ
かh		け
えs		け
かj		こ
おs		こ
かk		く
うs		く
かl		き
いs		き
か;		か
あs		か
かn	けん
っs	けん
かm	こん
んs	こん
か,	くん
、s	くん
か.	きん
。s	きん
か/	かん
ーs	かん
し9	すぃ
9d	すぃ
しy		しぇ
れd		しぇ
しu		しょ
よd		しょ
しi		しゅ
ゆd		しゅ
しo		しゃ
やd		しゃ
しh		せ
えd		せ
しj		そ
おd		そ
うd		す
しl		し
いd		し
し;		さ
あd		さ
しn	せん
っd	せん
しm	そん
んd	そん
し,	すん
、d	すん
し.	しん
。d	しん
し/	さん
ーd	さん
と6	つぇ
6f	つぇ
と7	つぉ
7f	つぉ
と8	とぅ
8f	とぅ
と9	てぃ
9f	てぃ
とy		ちぇ
れf		ちぇ
とu		ちょ
よf		ちょ
とi		ちゅ
ゆf		ちゅ
とo		ちゃ
やf		ちゃ
とp		つぁ
をf		つぁ
とh		て
えf		て
とj		と
おf		と
とk		つ
うf		つ
とl		ち
いf		ち
と;		た
あf		た
とn	てん
っf	てん
とm	とん
んf	とん
と,	つん
、f	つん
と.	ちん
。f	ちん
と/	たん
ーf	たん
は7	ふぉ
7g	ふぉ
は8	ふゅ
8g	ふゅ
は9	ふぃ
9g	ふぃ
はy		ふぇ
れg		ふぇ
はu		ひょ
よg		ひょ
はi		ひゅ
ゆg		ひゅ
はo		ひゃ
やg		ひゃ
はp		ふぁ
をg		ふぁ
はh		へ
えg		へ
はj		ほ
おg		ほ
はk		ふ
うg		ふ
はl		ひ
いg		ひ
は;		は
あg		は
はn	へん
っg	へん
はm	ほん
んg	ほん
は,	ふん
、g	ふん
は.	ひん
。g	ひん
は/	はん
ーg	はん
るu		りょ
よx		りょ
るi		りゅ
