# original TSV file minus the entries in the pending..
# set of the entries required for simultaneous key-combos..
ばh		べ
えt		べ
ばj		ぼ
おt		ぼ
ばk		ぶ
うt		ぶ
ばl		び
いt		び
ば;		ば
あt		ば
ばn	べん
っt	べん
ばm	ぼん
んt	ぼん
ば,	ぶん
、t	ぶん
ば.	びん
。t	びん
ば/	ばん
ーt	ばん
いk		うう
うl		うう
い;		あい
あl		あい
おh		えい
えj		えい
おk		おう
うj		おう
ゆo		ゆう
やi		ゆう
やp		いい
をo		いい
をe		をじ
じp		じを
をr		をで
でp		でを
をa		をの
のp		のを
をd		をし
しp		しを
をx		をる
るp		るを
をc		をま
まp		まを
をb		をわ
わp		わを
よi		よう
ゆu		よう
れu		れよ
よy		よれ
あいw	がい
ぎ;	がい
がl	がい
あいe	ざい
じ;	ざい
ざl	ざい
あいr	だい
ぢ;	だい
だl	だい
あいt	ばい
び;	ばい
ばl	ばい
あいa	ない
に;	ない
なl	ない
あいs	かい
き;	かい
かl	かい
あいd	さい
し;	さい
さl	さい
あいf	たい
ち;	たい
たl	たい
あいg	はい
ひ;	はい
はl	はい
あいx	らい
り;	らい
らl	らい
あいc	まい
み;	まい
まl	まい
あいb	ぱい
ぴ;	ぱい
ぱl	ぱい
ううw	ぐう
ぐl	ぐう
ぎk	ぐう
ううe	ずう
ずl	ずう
じk	ずう
ううr	づう
づl	づう
ぢk	づう
ううt	ぶう
ぶl	ぶう
びk	ぶう
ううa	ぬう
ぬl	ぬう
にk	ぬう
ううs	くう
くl	くう
きk	くう
ううd	すう
すl	すう
しk	すう
しk		す
ううf	つう
つl	つう
ちk	つう
ううg	ふう
ふl	ふう
ひk	ふう
ううx	るう
るl	るう
りk	るう
ううc	むう
むl	むう
みk	むう
ううb	ぷう
ぷl	ぷう
ぴk	ぷう
おうw	ごう
ごk	ごう
ぐj	ごう
おうe	ぞう
ぞk	ぞう
ずj	ぞう
おうr	どう
どk	どう
づj	どう
おうt	ぼう
ぼk	ぼう
ぶj	ぼう
おうa	のう
のk	のう
ぬj	のう
おうs	こう
こk	こう
くj	こう
おうd	そう
そk	そう
すj	そう
おうf	とう
とk	とう
つj	とう
おうg	ほう
ほk	ほう
ふj	ほう
おうx	ろう
ろk	ろう
るj	ろう
おうc	もう
もk	もう
むj	もう
おうb	ぽう
ぽk	ぽう
ぷj	ぽう
えいw	げい
げj	げい
ごh	げい
えいe	ぜい
ぜj	ぜい
ぞh	ぜい
えいr	でい
でj	でい
どh	でい
えいt	べい
べj	べい
ぼh	べい
えいa	ねい
ねj	ねい
のh	ねい
えいs	けい
けj	けい
こh	けい
えいd	せい
せj	せい
そh	せい
えいf	てい
てj	てい
とh	てい
えいg	へい
へj	へい
ほh	へい
えいx	れい
れj	れい
ろh	れい
えいc	めい
めj	めい
もh	めい
えいb	ぺい
ぺj	ぺい
ぽh	ぺい
いいw	ぎい
ぎゃp	ぎい
ぐぁo	ぎい
いいe	じい
じゃp	じい
をじo	じい
じをo	じい
いいr	ぢい
ぢゃp	ぢい
をでo	ぢい
でをo	ぢい
いいt	びい
びゃp	びい
ヴァo	びい
いいa	にい
にゃp	にい
をのo	にい
のをo	にい
いいs	きい
きゃp	きい
くぁo	きい
いいd	しい
しゃp	しい
をしo	しい
しをo	しい
いいf	ちい
ちゃp	ちい
つぁo	ちい
いいg	ひい
ひゃp	ひい
ふぁo	ひい
いいx	りい
りゃp	りい
をるo	りい
るをo	りい
いいc	みい
みゃp	みい
をまo	みい
まをo	みい
いいb	ぴい
ぴゃp	ぴい
をわo	ぴい
わをo	ぴい
ゆうw	ぎゅう
ぎゅo	ぎゅう
ぎゃi	ぎゅう
ゆうe	じゅう
じゅo	じゅう
じゃi	じゅう
ゆうr	でゅう
でゅo	でゅう
ぢゃi	でゅう
ゆうt	びゅう
びゅo	びゅう
びゃi	びゅう
ゆうa	にゅう
にゅo	にゅう
にゃi	にゅう
ゆうs	きゅう
きゅo	きゅう
きゃi	きゅう
ゆうd	しゅう
しゅo	しゅう
しゃi	しゅう
ゆうf	ちゅう
ちゅo	ちゅう
ちゃi	ちゅう
ゆうg	ひゅう
ひゅo	ひゅう
ひゃi	ひゅう
ゆうx	りゅう
りゅo	りゅう
りゃi	りゅう
ゆうc	みゅう
みゅo	みゅう
みゃi	みゅう
ゆうb	ぴゅう
ぴゅo	ぴゅう
ぴゃi	ぴゅう
ようw	ぎょう
ぎょi	ぎょう
ぎゅu	ぎょう
ようe	じょう
じょi	じょう
じゅu	じょう
ようr	ぢょう
ぢょi	ぢょう
でゅu	ぢょう
ようt	びょう
びょi	びょう
びゅu	びょう
ようa	にょう
にょi	にょう
にゅu	にょう
ようs	きょう
きょi	きょう
きゅu	きょう
ようd	しょう
しょi	しょう
しゅu	しょう
ようf	ちょう
ちょi	ちょう
ちゅu	ちょう
ようg	ひょう
ひょi	ひょう
ひゅu	ひょう
ようx	りょう
りょi	りょう
りゅu	りょう
ようc	みょう
みょi	みょう
みゅu	みょう
ようb	ぴょう
ぴょi	ぴょう
ぴゅu	ぴょう
れよw	ぐぇい
ぐぇu	ぐぇい
よれw	ぐぇい
ぎょy	ぐぇい
れよe	じぇい
じぇu	じぇい
よれe	じぇい
じょy	じぇい
れよr	ぢぇい
ぢぇu	ぢぇい
よれr	ぢぇい
ぢょy	ぢぇい
れよt	ゔぇい
ヴェu	ゔぇい
よれt	ゔぇい
びょy	ゔぇい
れよs	くぇい
くぇu	くぇい
よれs	くぇい
きょy	くぇい
れよd	しぇい
しぇu	しぇい
よれd	しぇい
しょy	しぇい
れよf	ちぇい
ちぇu	ちぇい
よれf	ちぇい
ちょy	ちぇい
れよg	ふぇい
ふぇu	ふぇい
よれg	ふぇい
ひょy	ふぇい
# set of the entries for timeout..
きょ{!}	きょ
をで{!}	をで
ちぇ{!}	ちぇ
さ{!}	さ
ちゃ{!}	ちゃ
き{!}	き
れよ{!}	れよ
ひ{!}	ひ
わを{!}	わを
ぴ{!}	ぴ
みゅ{!}	みゅ
しぇ{!}	しぇ
つぁ{!}	つぁ
ほ{!}	ほ
しょ{!}	しょ
わ{!}	わ
ど{!}	ど
をの{!}	をの
ぢゃ{!}	ぢゃ
びょ{!}	びょ
げ{!}	げ
だ{!}	だ
ヴェ{!}	ヴェ
をじ{!}	をじ
9{!}	9
じゅ{!}	じゅ
ぴゃ{!}	ぴゃ
くぇ{!}	くぇ
お{!}	お
みょ{!}	みょ
え{!}	え
にょ{!}	にょ
で{!}	で
ぴゅ{!}	ぴゅ
も{!}	も
ぽ{!}	ぽ
な{!}	な
ぐぁ{!}	ぐぁ
じょ{!}	じょ
あい{!}	あい
7{!}	7
ぎ{!}	ぎ
に{!}	に
ぞ{!}	ぞ
うう{!}	うう
るを{!}	るを
ば{!}	ば
た{!}	た
。{!}	。
う{!}	う
おう{!}	おう
ず{!}	ず
をる{!}	をる
づ{!}	づ
びゃ{!}	びゃ
じゃ{!}	じゃ
ぬ{!}	ぬ
ぱ{!}	ぱ
ち{!}	ち
ひゅ{!}	ひゅ
よう{!}	よう
く{!}	く
をま{!}	をま
る{!}	る
ぴょ{!}	ぴょ
よれ{!}	よれ
しゅ{!}	しゅ
ろ{!}	ろ
す{!}	す
じ{!}	じ
ざ{!}	ざ
みゃ{!}	みゃ
ふぇ{!}	ふぇ
ぐ{!}	ぐ
、{!}	、
は{!}	は
ふぁ{!}	ふぁ
し{!}	し
い{!}	い
ぺ{!}	ぺ
しを{!}	しを
ちゅ{!}	ちゅ
えい{!}	えい
つ{!}	つ
こ{!}	こ
じを{!}	じを
ゆう{!}	ゆう
ぷ{!}	ぷ
きゃ{!}	きゃ
ヴァ{!}	ヴァ
ぐぇ{!}	ぐぇ
っ{!}	っ
でゅ{!}	でゅ
しゃ{!}	しゃ
を{!}	を
ふ{!}	ふ
りょ{!}	りょ
べ{!}	べ
せ{!}	せ
あ{!}	あ
み{!}	み
ん{!}	ん
ー{!}	ー
じぇ{!}	じぇ
6{!}	6
ぎゅ{!}	ぎゅ
よ{!}	よ
ぎょ{!}	ぎょ
び{!}	び
でを{!}	でを
をし{!}	をし
め{!}	め
くぁ{!}	くぁ
ら{!}	ら
け{!}	け
ね{!}	ね
ま{!}	ま
ぢょ{!}	ぢょ
て{!}	て
をわ{!}	をわ
り{!}	り
と{!}	と
へ{!}	へ
りゅ{!}	りゅ
ぼ{!}	ぼ
ゆ{!}	ゆ
む{!}	む
や{!}	や
8{!}	8
びゅ{!}	びゅ
まを{!}	まを
ちょ{!}	ちょ
りゃ{!}	りゃ
ひょ{!}	ひょ
ぢ{!}	ぢ
ぜ{!}	ぜ
ぶ{!}	ぶ
ぎゃ{!}	ぎゃ
きゅ{!}	きゅ
いい{!}	いい
ぢぇ{!}	ぢぇ
ご{!}	ご
ひゃ{!}	ひゃ
そ{!}	そ
0{!}	0
の{!}	の
か{!}	か
にゅ{!}	にゅ
が{!}	が
れ{!}	れ
にゃ{!}	にゃ
のを{!}	のを
